"What word describes joining a cause just to feel good about it","Joinerism","Gung-faux","Slacktivism","Slacktivism"
"Which game is an example of combinatorics","Risk","Crossword puzzles","SuDoKu","SuDoKu"
"What book that heavily influenced The Matrix makes a cameo in the movie","Neuromancer","Simulacra & Simulation","Gravitys Rainbow","Simulacra & Simulation"
"The 90s band The Lightning Seeds took their name from which song","Raspberry Beret","Purple Rain","When Doves Cry","Raspberry Beret"
"Which of these sharks is NOT a Lamniform","Goblin shark","Great white shark","Hammerhead shark","Hammerhead shark"
"Pixies, Bon Iver, Iron & Wine and Bauhaus were all once signed to which record label","Sub Pop","4AD","Geffen","4AD"
"Which famous artist suffered many health problems leading to a condition named after him","Miro","Pollock","Toulouse Lautrec","Toulouse Lautrec"
"In which town were a president, governor, senator, NFL owner and late night host all born","Brookline MA","Hope AR","Muncie IN","Brookline MA"
"Which fashionable shoe has a high, tapering heel","Air Jordan","Stiletto","Crocs","Stiletto"
"Which creature has an approx daily food intake of 1.5 million calories","Hamster","Blue Whale","Sparrow","Blue Whale"
"British author A. A. Milne wrote childrens stories about animals living where","Staten Island","Hundred Acre Wood","Siberia","Hundred Acre Wood"
"From what TV shows does the line I love it when a plan comes together originate","ALF","The A-Team","MacGyver","The A-Team"
"The stripes on which of these countries flags are NOT oriented the same as the other two","Russian Federation","Netherlands","France","France"
"Who is the musician father of Norah Jones","Neil Diamond","Ravi Shankar","Tom Jones","Ravi Shankar"
"Which NBA star has not had his own signature shoe","Scottie Pippen","Kurt Rambis","Stephon Marbury","Kurt Rambis"
"Which of these films focuses on a P.O.W camp in China","Rescue Dawn","Shanghai Grand","Empire of the Sun","Empire of the Sun"
"What is the main ingredient in modern mincemeat, which is the filling in mince pies","Dried fruit","Beans","Minced meat","Dried fruit"
"Which of these lakes is located entirely within Switzerland","Lake Neuchatel","Lake Constance","Lake Geneva","Lake Neuchatel"
"Which of these alphabets contain the most letters","Russian","English","Greek","Russian"
"Who was the only astronaut to fly on each of the Mercury, Gemini & Apollo missions","Gordon Gordo Cooper","Donald Deke Slayton","Walter Wally Schirra","Walter Wally Schirra"
"Who is a fictional friendly ghost","Beavis","Snoopy","Casper","Casper"
"Which of these is an American fashion lifestyle magazine","The Economist","The verge","Vogue","Vogue"
"How many countries make up South America","18","12","24","12"
"Who did not fight in boxing legendary Thrilla in Manila","Muhammad Ali","George Foreman","Joe Frazier","George Foreman"
"What is the correct spelling of this word","Hankerchief","Handkerchief","Hankercheif","Handkerchief"
"Which poodle breed is the biggest","Standard","Moyen","Miniature","Standard"
"Which bread dough is unleavened","Filo","Naan","Injera","Filo"
"What made the original Teddy Ruxpin different from other stuffed animals of his time","Had a tape player","Follow voice commands","Backflip","Had a tape player"
"Which living organism has more teeth","Snail","Human Child","Snake","Snail"
"Which film was NOT directed by Martin Scorsese","Hugo","Silence","The Young Victoria","The Young Victoria"
"What song is heard at the annual Harvard Yale football game","The Red & Blue","Boola Boola","Old Nassau","Boola Boola"
"In which of these countries do motorist drive on the left side of the road","France","Tahiti","India","India"
"Which of these is a U.S. state","Chihuahua","Saskatchewan","Louisiana","Louisiana"
"Which of these movies is about baseball","Kingpin","Caddyshack","Mr. Baseball","Mr. Baseball"
"Who wrote the poem O Captain! My Captain!","William Shakespeare","Walt Whitman","Sarah Palin","Walt Whitman"
"Wallace & Gromit are movie characters in which style of animation","Cel animation","Claymation","3D CGI","Claymation"
"Which city has two of the four longest suspension bridges in the U.S.","San Francisco","New York City","Tacoma","New York City"
