"what is the phrase marie antoinette known for?","The Barbarians They Are!","Why Are They So Cold?","Being Queen Is Difficult.","Let Them Eat Cake!"
"who was the norse god of runes magic and knowledge?","Tr","Skadi","Njord","Odin"
"which u s state is walt disney world located?","Nevada","California","Hawaii","Florida"
"in the sport of bull riding which hand do you ride with?","No Hands","Left Hand","Right Hand","Either Hand"
"which of the following is not a team in real life?","Sacramento Kings","Golden State Warriors","Orlando Magic","Nevada Lucks"
"which two characters are the only ones in the simpsons to have 10 fingers instead of 8?","Mr Burns and Smithers","Bart and Lisa","Side Show Mel and Side Show Bob","God and Jesus"
"who is dora the explorers cousin?","Pedro","Tomas","Juan","Diego"
"who is ernies roommate?","Snuffy","Elmo","Oscar","Bert"
"on the show spongebob what is the name of spongebobs driving teacher?","Sandy","Mr.Crabs","Larry The Lobster","Mrs.Puff"
"which nba team won its first title in 2015 after waiting for 40 years?","Cleveland Cavaliers","Oklahoma City Thunder","Minnesota Timberwolves","Golden State Warriors"
"which lifeline was removed from who wants to be a millionaire in 2009 due to progressing technology?","Ask The Expert","50-50","Switch The Question","Phone-A-Friend"
"what type of animal is yogi?","Squid","Bunny","Mountain Lion","Bear"
"what type of animal is a skink?","Skunk","Owl","Snake","Lizard"
"what do you call a flock of geese?","Murder","Pack","Gathering","Gaggle"
"which book did dr suess not write?","Green Eggs And Ham","One Fish, Two Fish, Red Fish, Blue Fish","The Cat In The Hat","The Cupcake Club"
"when did pollution truly start to cause large problems?","Modern Times","The Time Of Colonization","Dark Ages","Industrial Revolution"
"what beverage contains 0 calories naturally?","Coke zero","Diet soda","Sparkling water","Water"
"which movie did not star clint eastwood?","The Good The Bad And The Ugly","A Fistful Of Dollars","For A Few Dollars More","Rio Bravo"
"in golf on a par 3 hole what score would a birdie be?","1","4","3","2"
"what former soccerfootball player married one of the previous spice girls?","Pele","Maradona","Puyol","David Beckham"
"at the start of a game which is the least powerful piece in chess?","The King","The Knight","The Bishop","The Pawn"
"in ancient egypt servants were smeared with what in order to attract flies away from the pharaoh?","Molasses","Nectar","Salt","Honey"
"who authored the sherlock holmes novels?","Dickens","Smith","Churchill","Conan Doyle"
"in the sitcom gilligans island who did gilligan share a hut with?","Professor","Thirston Howel","Ginger","Skipper"
"if you are in rem sleep you experience what?","Slow Breathing","Seizures","Sleep Apnea","Rapid Eye Movement"
"what was once known as arabian wine?","Wine","Brandy","Rum","Coffee"
"what brand signed michael jordan to a shoe deal?","Adidas","Reebok","Under Armour","Nike"
"what group of explorers tried to take over the aztec capital city tenochtitlan?","The French","The British","The Germans","The Spanish"
"which of the following cities cannot be found in england?","Manchester","Southampton","Birmingham","Anglesey"
"where does the prime meridian go through on the global map?","Greenwich, Iceland","Miami, Florida","Paris, France","Greenwich, England"
"what was the score of the 2015 fifa womens world cup final between the us and japan?","1-2","1-0","4-2","5-2"
"which italian renaissance artist is known for painting the birth of venus?","Leonardo Da Vinci","Michelangelo","Masaccio","Sandro Botticelli"
"who wrote where ignorance is bliss it is folly to be wise?","Martin","Charles Dickens","Anna Sewell","Shakespeare"
"what chromosome do all men and only men have?","Heterozygous","X","Chromosome 24","Y"
"where was the first fourth of july celebration with a fireworks display held?","Washington D.C.","New York, New York","Baltimore, Maryland","Boston, Massachusetts"
"what is the chemical formula for ammonium?","Clo3","Cn","C2H3O2","Nh4"
"what country holds the annual oktoberfest?","America","Switzerland","Australia","Germany"
"when does the novel catch 22 take place?","World War One","The Great Depression","The Future","World War Two"
"which piece of art was created by davinci?","Sistine Chapel Ceiling","Separation Of Light From Darkness","David","The Last Supper"
"which sport has a point guard?","Football","Soccer","Tennis","Basketball"
"who played batman in the tv series?","George Clooney","George Reeves","Christian Bale","Adam West"
"which fruit is most acidic?","Peach","Watermelon","Mango","Lemon"
"what character is the bad one in the avengers series?","Thor","Iron Man","None of the above","Loki"
"what is the spiral on a screw called?","Ramp","Lead","Incline","Thread"
"in june 1994 the french british and americans celebrated the 50th anniversary of what event?","Desert Storm","World War 1","Korean War","D-Day"
"who is best known for saying its not easy being green?","Mr. Peanut","Tom Thumb","Oscar The Grouch","Kermit The Frog"
"which one of these baseball teams originated in brooklyn new york?","Rockies","Red Sox","Padres","Dodgers"
"which of the following movies features phillip seymour hoffman?","Almost Famous (2000)","Magnolia (1999)","Red Dragon (2002)","All Of The Above"
"what is 25 x 25?","155","355","450","625"
"vini vidi vici was said by who?","Hernandez Raoul","Martin Luther King Jr","Anonymous","Julius Caesar"
"what is the term used for riding a horse without a saddle?","Saddleless","Back Strapped","Close Encounter","Bareback"
"what character is nintendo most famous for?","Sonic The Hedgehog","Pac-Man","Donkey Kong","Mario"
"in the m?","Red And Brown","Brown And Yellow","Green And Brown","Red And Yellow"
"which cartoon character is known for this saying arriba arriba andale andale?","Bugs Bunny","Johnny Bravo","Pink Panther","Speedy Gonzales"
"which us president got stuck in his bathtub on his inauguration day and had to be pried out by his attendants?","Theodore Roosevelt","George Washington","Grover Cleavland","William Howard Taft"
"which of the following was written by shakespeare?","The Canterbury Tales","Antigone","The Odyssey","King Lear"
"what movie is this line from tell me about it stud?","Saturday night fever","Boogie nights","Overboard","Grease"
"what is sugar ray leonards real name?","Robert Leonard","Carl Lewis","Casius Clay","Ray Charles Leonard"
"what pitcher has the most wins in the history of mlb?","Denny Mclain","Walter Johnson","Randy Johnson","Cy Young"
"what plants scent helps you fall asleep?","Ginger","Mint","Honeysuckle","Lavender"
"what does the acronym pvp usually stand for in computer games labeled as mmorpgs?","Please Visit Pluto","Popstar Vs Popstar","Protagonist Vs Protagonist","Player Vs Player"
"which of these movies is about strippers?","Sex Tape","The Incredible Burt Wonderstone","Big Fish","Magic Mike"
"freud is considered the father of which psychological branch?","Kantian thought","Chauvinism","Conductual","Psychoanalysis"
"in the movie cone heads who played the leading roles?","Gilda Radner And Steve Martin","Jane Curtin And John Belushi","John Belushi And Dan Ackroyd","Jane Curtin And Dan Ackroyd"
"in which sport does the defense control the ball?","American Football","Hockey","Basketball","Baseball"
"what is the only thing that can escape black holes?","Light","Sound","Air","Nothing can escape"
"how many oceans does canada border?","2","0","1","3"
"which of these was not a marx brother?","Groucho","Harpo","Zeppo","Dingo"
"which one of the following is not a religion?","Muslim","Christian","Catholic","Ethiopian"
"what ruler made hellenistic culture?","Socrates","Napoleon","Phillip 1","Alexander The Great"
"where is tikrit located?","Iran","Lebanon","Jordan","Iraq"
"what is a mosaic made of?","Enamel Paints","Graphite","Jigsaw Puzzle Pieces","Small Pieces Of Tile"
"where is tennis player rafael nadal from?","Portugal","Australia","America","Spain"
"which of these is not a show hosted by guy fieri?","Diners, Drive-Ins And Dives","Guy's Big Bite","Grocery Games","Master Chef"
"what show was about an agent trying to solve problems with the help of her friend ron?","Proud Family","Spongebob","Girl Meets World","Kim Possible"
"what state is known for liking big things?","Arkansas","Tennessee","Wyoming","Texas"
"what are the colors of the bulgarian flag?","Red,blue,white","Orange,green,white","White and red","White,green,red"
"what is the variety of life?","Distribution","Etymology","Biology","Biodiversity"
"what is the official state sport in alaska?","Downhill Skiing","Snow Sledding","Cross Country Skiing","Dog Mushing"
"what legal tradition is mainly applied in the united states?","Res Ipsa Loquitur","Civil Law","Lex Talionis","Common Law"
"in what u s state is there a city named grand rapids?","Ohio","Maryland","Alaska","Michigan"
"what is the capital of cyprus?","Akaki","Peyia","Dali","Nicosia"
"how many superbowl rings do the dallas cowboys have?","3","2","1","5"
"who is the writer of the sound and the fury?","Ernest Hemingway","James Joyce","F. Scott Fitzgerald","William Faulkner"
"what happens when your whole foot crosses the center line in volleyball?","Time Out","Keep Playing","Reserve","The Other Team Gets A Point"
"what is the name of the former saturday night live star who began hosting the tonight show in 2014?","Jon Stewart","Will Ferrell","Seth Meyers","Jimmy Fallon"
"in roman mythology who is the god of the seas?","Juno","Mars","Jupiter","Neptune"
"which of julius caesars peers went on to marry cleopatra and declare war on rome?","Casius","Brutus","Octavian","Antony"
"what is the largest planet in our solar system?","Saturn","Mars","Pluto","Jupiter"
"in what year was the first james bond book published?","1960","1964","1945","1953"
"who wrote the play the importance of being earnest?","William Shakespeare","Charles Dickens","Arthur Miller","Oscar Wilde"
"what trade did paul revere practice?","Butcher","Blacksmith","Cobbler","Silversmith"
"co2 is comprised of oxygen and what other element?","Helium","Iron","Silicon","Carbon"
"what is the land of chocolate and waffles?","Germany","Netherlands","France","Belgium"
"what does the a in netball stand for?","Aggravate","Affence","Acknowledge","Attack"
"in a live theatre what is a green room?","A Room With Green Walls","The Tech Room","None Of These Answers","Backstage, Where The Actors Wait To Go On"
"in the original pacman what is the fruit you have to get in the first level?","Bananas","Grapes","Strawberries","Cherries"
"how many referees are there at a standard volleyball match?","4","1","5","2"
"which of these is not a route of aids transmission?","Exposure to infected body fluids","Sexual contact","Pregnancy, delivery or breastfeeding","Drinking from the same glass"
"what is perus capital?","Salvador","Santiago","Quito","Lima"
"how many squares are on each side of a rubiks cube?","10","8","12","9"
"what is the name of a popular poetry recital competition in america?","Poetry On Stage","Poetry By Teens","Poetry Championship","Poetry Out Loud"
"what team in baseball has the longest streak of not winning a world series title?","Rangers","Red Sox","Tigers","Cubs"
"what is the specific term for adams apple?","Rhinopharynx","Tonsil","Esophagus","Thyroid Cartilage"
"how many times was johnny cash married?","0","1","4","2"
"which sport involves spotting basing and dancing?","Cricket","Archery","Football","Cheerleading"
"during the holocaust which people were mainly killed?","Buddhists","Hinduists","Protestants","Jews"
"in toy story 3 what is mrs potato head missing throughout the whole movie?","Her hair","Her pocketbook","Her shoe","Her eye"
"which of these celestial bodies is a dwarf planet?","Ganymede","Mercury","Vesta","Ceres"
"which u s president was killed in 1963?","Reagan","Johnson","Washington","Kennedy"
"who is the greco roman god of death?","Poseidon","Zeus","Hermes","Hades"
"which of these countries does the seine flow through?","Morocco","Haiti","Sudan","France"
"what island nation lies off the coast of western africa?","Guinea-Bissau","Seychelles","Mauritius","Cape Verde"
"what do you call the tip of the blade in figure skating?","Toe Heel","Toe Blade","Toe Tip","Toe Pick"
"which ph balance is said to be neutral?","14","0","6","7"
"who caused a lot of trouble in jim dears home in lady and the tramp?","Darling","Lady","Tramp","Siamese Cats"
"which sport uses a small hollow white ball?","Tennis","Baseball","Volleyball","Ping Pong"
"what was frank robinsons nick name when he played major league baseball?","Frankie Baseball","The Boss","The Shield","The Judge"
"what club do most people use when they tee off in golf on a par five?","Hybrid","Sand Wedge","A Tee","Driver"
"what is dora the explorers last name?","Smith","Obama","Harris","Marquez"
"who is billy madison?","A President's Son","The Ceo Of Michelin","A Singer/Songwriter","A Fictional Movie Character"
"what us city is home to the largest aquarium?","New York","Detroit","Seattle","Atlanta"
"what is a marksman?","Writer","Researcher","Journalist","Shooter"
"koalas sleep how many hours a day?","15","12","7","20"
"what was the rolling stones debut album?","12 x 5","Out of Heads","Sticky Fingers","The Rolling Stones"
"what is the recommended amount of sleep a person should have each night?","4 Hours","5 Hours","3 Hours","8 Hours"
"in what countrys museum was original writing of shakespeare recently discovered?","United States","Italy","United Kingdom","France"
"which month has the most religious holidays?","Mar","Feb","April","Dec"
"this person conquered 90 of the known world at his time and named many of the cities he conquered after himself?","Tutankhamen","Philip Ii Of Macedon","Asoka","Alexander The Great"
"which dog breed was originally bred for rescue missions in the swiss alps?","Siberian Husky","Bloodhound","Mastiff","St. Bernard"
"which city is not in mexico?","Cancn","Puerto Vallarta","Chihuahua","Havana"
"what is the first name of roger rabbits love interest?","Margo","Jennifer","Lisa","Jessica"
"what is the chemical symbol for selenium?","Sm","S","Sl","Se"
"what system is the spleen part of?","Circulatory","Digestive","Intergumentary","Lymphatic"
"what disease is also known as lock jaw?","Brucellosis","Rabies","Tuberculosis","Tetanus"
"what does a polygraph measure to determine honesty or deception?","Body Temp, Pulse Rate And Pupil Size.","Breathing, Pupil Size And Blood Pressure,","Tone Of Voice, Eye Contact, Body Control","Blood Pressure, Pulse And Respiration."
"which is not one of the wonders of the world?","The Mausoleum At Halicarnassus","The Colossus Of Rhodes","The Great Pyramid Of Giza","The Library Of Babylon"
"where are gondolas used to travel?","Madrid","Rome","Sicily","Venice"
"what is the new york mets name short for?","Mr. Met","Mrs. Met","Metro Gas And Plumbing","Metropolitans"
"what popular childrens movie is a modern day version of a classic fairy tale starring hilary duff?","Snow White And The Huntsman","The Tooth Fairy","Into The Woods","A Cinderella Story"
"in what sport do they use a bar beam trampoline and a tumble track?","Soccer","Ballet","Football","Gymnastics"
"who was the president who got assassinated by john wilkes booth?","George Washington","Ronald Reagan","Thomas Jefferson","Abraham Lincoln"
"in wrestling what is it called when a wrestler has the opponents back to the ground for three seconds?","A takedown","A goal","Touchdown","A pin"
"what is a crescendo in music mean?","Decrease In Volume","Play Vibrantly","Suddenly Stop","Increase In Volume"
"in which movie did tom hanks find himself in love with a mermaid?","Mr. Peabody and the Mermaid","Fishtales","The Little Mermaid","Splash"
"what machine separates liquids?","Tunicle","Blender","Anti Mixer","Centrifuge"
"which color scheme contains only black white and shades of grey?","Analogus","Polychromatic","Complementary","Achromatic"
"in the tv series how i met your mother where is robin from?","France","Russia","Italy","Canada"
"what is the large hadron collider?","A Trash Compactor","A Monster Truck Rally","A Black Hole","A Particle Accelerator"
"what is the term used for a character in a story that is opposed to the main character?","Obstacle","Protagonist","Villain","Antagonist"
"what does les miserables mean?","Misery","The Misers' Tables","Miso Soup","The Miserable Ones"
"what is a perfect score in bowling?","200","100","99","300"
"whats brazils national sport?","Volleyball","Handball","Basketball","Soccer"
"which childrens show includes a girl with a backpack and her monkey sidekick?","Yo Gabba Gabba","Sofia The First","Go Diego Go","Dora The Explorer"
"what is new yorks state fruit?","Peach","Raspberry","Kiwi","Apple"
"the berlin conference in 1884 awarded belgium what colony?","The Ukraine","The Sudan","South Africa","The Congo"
"what happened to hitler when he served in the german army during world war i?","He Was Captured A Majority Of The War","He Fled The Army To Become An Artist","He Was Beaten Severely In Prison Camps","His Life Was Spared By A British Soldier"
"which of these military bases is not located in colorado springs co?","Air Force Academy","Fort Carson","Norad","Fort Dix"
"what is the name of the show with a woman melinda gordan main character who could speak with the dead?","Walking Dead","Talking Dead","I See You","Ghost Whisperer"
"what book is told from the point of view of holden caulfield?","Lord Of The Flies","The Grapes Of Wrath","Lord Of The Rings","The Catcher In The Rye"
"which 1980s tv show features a talking black car named kitt?","Mork And Mindy","Different Strokes","Alf","Knight Rider"
"who does not play basketball?","Scottie Pipen","Michael Jordan","Lebron James","Eddie Murphy"
"what sport do you use a racquet in?","Basketball","Football","Baseball","Tennis"
"what are the two main chemicals in marijuana?","Cbd And Niacin","Thc And Vitamin B","Thc And Ethanol","Thc And Cbd"
"who plays neo in the matrix?","Cher","Will Smith","Bruce Willis","Keanu Reeves"
"what is africas newest country?","Somalia","Eritrea","Kenya","South Sudan"
"in which country are there more sheep than people?","China","Australia","South Africa","New Zealand"
"what is the most common religion in india?","Buddhism","Muslim","Christian","Hindu"
"what style was artist george seurat known for?","Expressionism","Impressionism","Cubism","Pointillism"
"which nation accidentally fought itself instead of the ottoman empire at the battle of karansebes in 1788?","Russia","Prussia","France","Austria"
"in which continent is canada?","Russia","South America","Eurasia","North America"
"what city is the lincoln memorial located in?","Springfield, Illinois","Richmond, Virginia","Louisville, Kentucky","Washington D.C"
"in finding nemo what does dory suffer from?","Long Term Memory Loss","Adhd","Short Sightedness","Short Term Memory Loss"
"in photography what does slr stand for 2?","Simple Looking Reflex","Simple Lens Router","Single Looking Reader","Single Lens Reflex"
"which tennis player won the most titles?","Pete Sampras","Novak Djokovic","Ivan Lendl","Roger Federer"
"what film was elizabeth taylor not in?","Cleopatra","National Velvet","Who's Afraid of Virginia Woolf","Wizard of Oz"
"who is the roman counterpart to the greek god hermes?","Mars","Uranus","Pluto","Mercury"
"which of these hormones is not produced in the pancreas?","Glucagon","Insulin","Somatostatin","Norepinephrine"
"which bible character was adopted by pharaoh and led the israelites to canaan?","Abraham","Jacob","Isaac","Moses"
"in which u s state is cape cod?","North Carolina","Maine","New York","Massachusetts"
"where is the fountain of youth said to be?","Shawnee, Ok","Salem, Ma","New Orleans, La","St. Augustine, Fl"
"which sport does not have opponents standing at opposite sides of the net?","Volleyball","Tennis","Ping Pong","Basketball"
"what area of africa is most affected by the ebola virus?","East Africa","Kalahari Desert","Sahara Desert","West Africa"
"whose boots were made for walking?","Adele","Cher","Miley Cyrus","Nancy Sinatra"
"which of these is not an event in decathlon?","Javelin Throw","Long Jump","100 Meter Dash","5000 Meter Run"
"the periodic table has 118 elements truefalse?","False it has 129 elements","False it only has 115","False it has 145 elements","True"
"what city was christopher columbus supposedly born in?","Barcelona","Cagliari","Lisbon","Genoa"
"what state is known as the big sky state?","Ohio","Texas","Alaska","Montana"
"in what sport can the ball spin and hook?","Volleyball","Basketball","Rugby","Bowling"
"what movie title included a mathematical term?","A Parallel Life","Life Of Pythagorean","An Obtuse Life","Life Of Pi"
"what type of organisms do antibiotics treat?","Protozoa","Viruses","Fungi","Bacteria"
"what does wendy give peter pan in place of a kiss?","A Hershey's Kiss","Thumbnail","Thumb Tack","Thimble"
"what nfl team is from cincinnati?","Browns","Steelers","Ravens","Bengals"
"which sport includes free throws?","Baseball","Football","Volleyball","Basketball"
"what superhero builds weapons for a living?","Captain America","Hulk","Thor","Iron Man"
"cystic fibrosis is a terminal illness that mainly effects which organs?","Heart and lungs","Muscles, ligaments and tendons","Liver and kidneys","Lungs and Pancreas"
"when lebron james was drafted into the nba which team did he play for?","Chicago Bulls","Miami Heat","Los Angeles Lakers","Cleveland Cavaliers"
"which city is in the state of vermont?","Northfield","Raleigh","Albany","Burlington"
"which of the following was part of the territory gained by the u s after winning the mexican american war of 1846 1848?","Oregon","Puerto Rico","Florida","New Mexico"
"this artist was the founder of french impressionist painting who was he?","Michelangelo","Leonardo Da Vinci","Salvador Dali","Claude Monet"
"which sport doesnt use a sphere ball?","Soccer","Tennis","Basketball","Rugby"
"which state does the indy500 take place in?","Illinois","Idaho","Iowa","Indiana"
"which of these countries does the andes mountain range not pass through?","Peru","Argentina","Chile","Brazil"
"what do you call the study of society?","Culture","Popology","None Of The Above","Sociology"
"who is pietro maximof?","Batman","Hulk","Spider-man","Quicksilver"
"whats the leading form of research in japan?","Psychology","Biology","Agriculture","Robotics"
